item,itemLabel,position,positionLabel,start,psid
Q109779342,Carlson D. Apis,Q109779154,"Secretary of Transportation, Communication and Infrastructure",2019-11-25,Q109779342-239FE6DE-8473-46E6-953F-C2EAAA8DD14C
Q109779412,Rufino Mauricio,Q109779413,"Director of National Archives, Culture & Historic Preservations",2019-12-23,Q109779412-6AAAE0CC-BC87-4A6B-B361-02FDAF0A7A8A
Q109779430,Eugene Amor,Q109779431,Secretary of Finance and Administration,2019-12-23,Q109779430-3B270A35-D065-4791-85C1-E99ADB597BCD
Q109779446,Gardenia Aisek,Q109779449,Secretary of Education,2021-10-08,Q109779446-D162209D-DCAF-44AA-8BDD-DFE07C62DD27
Q109779458,Marcus Samo,Q109779460,Secretary of Health and Social Affairs,2021-10-08,Q109779458-BBF3F260-6CE0-4FB1-A08D-FE1259798B52
Q109779483,Elina Akinaga,Q109779082,Secretary of Resources and Development,2021-10-08,Q109779483-44DDDDA8-E42B-414C-AF1D-07EA99502DC8
Q109779509,Joses R. Gallen,Q55648617,Secretary of Justice (Micronesia),2015-05-28,Q109779509-D5F8FCB2-EAC8-47C3-98AF-5BE414436993
Q109779535,Ginger Porter Mida,Q109779536,Post Master General of FSM,2020-01-23,Q109779535-220BD363-E0E3-4E7A-B36F-F191D64037BC
Q109779586,Andrew Yatilman,Q109779587,Secretary of Environment and Emergency Management,2019-08-16,Q109779586-920DD9B9-1689-406E-986A-DD2F7455BA62
Q23302699,Yosiwo P. George,Q1255026,Vice President of the Federated States of Micronesia,2015-05-11,Q23302699-A0DC9957-85E2-48ED-A7FE-2D37379E273D
Q63872093,David W. Panuelo,Q30133416,President of the Federated States of Micronesia,2019-05-11,Q63872093-4AD2E2DB-8EE0-4017-BF4F-1D710EA5D120
Q97580941,Kandhi A. Elieisar,Q109779095,Secretary of Foreign Affairs,2020-01-23,Q97580941-5ED7E7C1-824E-4624-A037-23FC684927D5
